--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Qatar,9928,2241,22.57,37.20,1.12,0.77,1.73
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",398,52,13.07,34.42,6.66,0.77,0.04
"8 Nov, 2021",722,110,15.24,34.21,3.77,0.36,0.04
"7 Nov, 2021",594,93,15.66,37.71,3,0.43,0.04
"6 Nov, 2021",186,50,26.88,59.68,12,0.20,0.01
"5 Nov, 2021",364,74,20.33,37.09,3.85,0.81,0.06
"30 Nov, 2021",130,52,40.00,53.85,0,0.38,0.02
"29 Nov, 2021",88,57,64.77,71.59,18.3,2.46,0.14
"28 Nov, 2021",321,24,7.48,71.96,9.43,2.92,0.07
"27 Nov, 2021",92,48,52.17,61.96,5.31,3.96,0.19
"26 Nov, 2021",106,59,55.66,64.15,0,1.36,0.08
"25 Nov, 2021",133,64,48.12,52.63,0,1.25,0.08
"24 Nov, 2021",38,25,65.79,84.21,0,2.40,0.06
"23 Nov, 2021",86,62,72.09,76.74,4.64,0.97,0.06
"22 Nov, 2021",119,57,47.90,53.78,9.39,3.33,0.19
"21 Nov, 2021",110,50,45.45,75.45,9.13,0.60,0.03
"20 Nov, 2021",180,92,51.11,52.78,5.81,0.98,0.09
"19 Nov, 2021",96,67,69.79,76.04,4.62,1.34,0.09
"18 Nov, 2021",103,7,6.80,8.74,0,0.00,0
"17 Nov, 2021",2654,524,19.74,27.28,0,0.13,0.07
"16 Nov, 2021",1120,218,19.46,27.59,11.45,0.14,0.03
"15 Nov, 2021",274,55,20.07,36.50,4.95,0.55,0.03
"14 Nov, 2021",372,96,25.81,41.40,0,0.42,0.04
"13 Nov, 2021",232,43,18.53,33.19,17.32,1.40,0.06
"12 Nov, 2021",546,153,28.02,36.81,0,1.05,0.16
"11 Nov, 2021",256,29,11.33,22.66,0,0.69,0.02
"10 Nov, 2021",608,80,13.16,38.65,3.1,0.38,0.03
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Qatar,Tablets,8,2,25.00,,0.00,0.00,0.00
Qatar,Desktop,8331,1302,15.63,,0.00,0.07,0.09
Qatar,Mobile,1589,937,58.97,,2.67,1.75,1.64
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
China,5783,2817,48.71,85.94,2.84,0.46,1.29
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",268,109,40.67,94.03,8.38,0.18,0.02
"8 Nov, 2021",156,62,39.74,97.44,25.3,0.32,0.02
"7 Nov, 2021",268,116,43.28,91.79,0,0.26,0.03
"6 Nov, 2021",252,100,39.68,92.46,6.06,0.30,0.03
"5 Nov, 2021",154,60,38.96,96.75,3.33,0.50,0.03
"30 Nov, 2021",64,52,81.25,93.75,16.2,0.58,0.03
"29 Nov, 2021",67,50,74.63,92.54,9.41,1.20,0.06
"28 Nov, 2021",82,42,51.22,75.61,19.28,0.71,0.03
"27 Nov, 2021",55,42,76.36,96.36,2.38,0.71,0.03
"26 Nov, 2021",51,36,70.59,98.04,6.01,0.83,0.03
"25 Nov, 2021",137,98,71.53,82.48,2.06,0.71,0.07
"24 Nov, 2021",129,95,73.64,94.57,4.38,0.95,0.09
"23 Nov, 2021",193,146,75.65,93.78,8.43,0.75,0.11
"22 Nov, 2021",236,172,72.88,84.32,7.36,0.47,0.08
"21 Nov, 2021",250,208,83.20,98.00,6.78,0.43,0.09
"20 Nov, 2021",149,124,83.22,95.30,8.2,0.48,0.06
"19 Nov, 2021",119,96,80.67,100.00,2.08,0.63,0.06
"18 Nov, 2021",77,69,89.61,97.40,8.76,0.58,0.04
"17 Nov, 2021",142,49,34.51,76.06,0,0.41,0.02
"16 Nov, 2021",314,103,32.80,71.66,9.95,0.29,0.03
